date,frameworkenabled,pushnotification,count
2021-02-24,true,granted,<20
2021-02-24,true,blocked,<20
2021-02-24,true,denied,<20
2021-02-24,false,granted,<20
2021-02-24,false,blocked,<20
2021-02-24,false,denied,<20
2021-02-25,true,granted,2881
2021-02-25,true,blocked,55
2021-02-25,true,denied,<20
2021-02-25,false,granted,1366
2021-02-25,false,blocked,20
2021-02-25,false,denied,<20
2021-02-26,true,granted,3924
2021-02-26,true,blocked,97
2021-02-26,true,denied,<20
2021-02-26,false,granted,1557
2021-02-26,false,blocked,41
2021-02-26,false,denied,<20
2021-02-27,true,granted,4237
2021-02-27,true,blocked,100
2021-02-27,true,denied,<20
2021-02-27,false,granted,1793
2021-02-27,false,blocked,88
2021-02-27,false,denied,<20
2021-02-28,true,granted,4302
2021-02-28,true,blocked,92
2021-02-28,true,denied,<20
2021-02-28,false,granted,1466
2021-02-28,false,blocked,99
2021-02-28,false,denied,<20
2021-03-01,true,granted,4328
2021-03-01,true,blocked,102
2021-03-01,true,denied,<20
2021-03-01,false,granted,1202
2021-03-01,false,blocked,105
2021-03-01,false,denied,<20
2021-03-02,true,granted,3995
2021-03-02,true,blocked,78
2021-03-02,true,denied,<20
2021-03-02,false,granted,1018
2021-03-02,false,blocked,104
2021-03-02,false,denied,<20
2021-03-03,true,granted,3755
2021-03-03,true,blocked,86
2021-03-03,true,denied,<20
2021-03-03,false,granted,919
2021-03-03,false,blocked,85
2021-03-03,false,denied,<20
2021-03-04,true,granted,3880
2021-03-04,true,blocked,82
2021-03-04,true,denied,<20
2021-03-04,false,granted,976
2021-03-04,false,blocked,99
2021-03-04,false,denied,<20
2021-03-05,true,granted,4365
2021-03-05,true,blocked,99
2021-03-05,true,denied,<20
2021-03-05,false,granted,1003
2021-03-05,false,blocked,113
2021-03-05,false,denied,<20
2021-03-06,true,granted,3813
2021-03-06,true,blocked,109
2021-03-06,true,denied,<20
2021-03-06,false,granted,868
2021-03-06,false,blocked,75
2021-03-06,false,denied,<20
2021-03-07,true,granted,3650
2021-03-07,true,blocked,89
2021-03-07,true,denied,<20
2021-03-07,false,granted,753
2021-03-07,false,blocked,89
2021-03-07,false,denied,<20
2021-03-08,true,granted,3656
2021-03-08,true,blocked,84
2021-03-08,true,denied,<20
2021-03-08,false,granted,751
2021-03-08,false,blocked,76
2021-03-08,false,denied,<20
2021-03-09,true,granted,3607
2021-03-09,true,blocked,71
2021-03-09,true,denied,<20
2021-03-09,false,granted,766
2021-03-09,false,blocked,87
2021-03-09,false,denied,<20
2021-03-10,true,granted,3666
2021-03-10,true,blocked,83
2021-03-10,true,denied,<20
2021-03-10,false,granted,697
2021-03-10,false,blocked,90
2021-03-10,false,denied,<20
2021-03-11,true,granted,3640
2021-03-11,true,blocked,94
2021-03-11,true,denied,<20
2021-03-11,false,granted,680
2021-03-11,false,blocked,82
2021-03-11,false,denied,<20
2021-03-12,true,granted,3901
2021-03-12,true,blocked,89
2021-03-12,true,denied,<20
2021-03-12,false,granted,758
2021-03-12,false,blocked,84
2021-03-12,false,denied,<20
2021-03-13,true,granted,3763
2021-03-13,true,blocked,72
2021-03-13,true,denied,<20
2021-03-13,false,granted,808
2021-03-13,false,blocked,78
2021-03-13,false,denied,<20
2021-03-14,true,granted,3754
2021-03-14,true,blocked,66
2021-03-14,true,denied,<20
2021-03-14,false,granted,811
2021-03-14,false,blocked,80
2021-03-14,false,denied,<20
2021-03-15,true,granted,3820
2021-03-15,true,blocked,60
2021-03-15,true,denied,<20
2021-03-15,false,granted,778
2021-03-15,false,blocked,67
2021-03-15,false,denied,<20
2021-03-16,true,granted,3862
2021-03-16,true,blocked,90
2021-03-16,true,denied,<20
2021-03-16,false,granted,779
2021-03-16,false,blocked,99
2021-03-16,false,denied,<20
2021-03-17,true,granted,4823
2021-03-17,true,blocked,124
2021-03-17,true,denied,<20
2021-03-17,false,granted,895
2021-03-17,false,blocked,98
2021-03-17,false,denied,<20
2021-03-18,true,granted,4514
2021-03-18,true,blocked,89
2021-03-18,true,denied,<20
2021-03-18,false,granted,900
2021-03-18,false,blocked,105
2021-03-18,false,denied,<20
2021-03-19,true,granted,3943
2021-03-19,true,blocked,78
2021-03-19,true,denied,<20
2021-03-19,false,granted,778
2021-03-19,false,blocked,78
2021-03-19,false,denied,<20
2021-03-20,true,granted,3964
2021-03-20,true,blocked,80
2021-03-20,true,denied,<20
2021-03-20,false,granted,754
2021-03-20,false,blocked,63
2021-03-20,false,denied,<20
2021-03-21,true,granted,3523
2021-03-21,true,blocked,85
2021-03-21,true,denied,<20
2021-03-21,false,granted,739
2021-03-21,false,blocked,78
2021-03-21,false,denied,<20
2021-03-22,true,granted,3695
2021-03-22,true,blocked,76
2021-03-22,true,denied,<20
2021-03-22,false,granted,740
2021-03-22,false,blocked,82
2021-03-22,false,denied,<20
2021-03-23,true,granted,4733
2021-03-23,true,blocked,78
2021-03-23,true,denied,<20
2021-03-23,false,granted,1010
2021-03-23,false,blocked,66
2021-03-23,false,denied,<20
2021-03-24,true,granted,4140
2021-03-24,true,blocked,95
2021-03-24,true,denied,<20
2021-03-24,false,granted,906
2021-03-24,false,blocked,71
2021-03-24,false,denied,<20
2021-03-25,true,granted,4046
2021-03-25,true,blocked,61
2021-03-25,true,denied,<20
2021-03-25,false,granted,747
2021-03-25,false,blocked,73
2021-03-25,false,denied,<20
2021-03-26,true,granted,3980
2021-03-26,true,blocked,96
2021-03-26,true,denied,<20
2021-03-26,false,granted,781
2021-03-26,false,blocked,78
2021-03-26,false,denied,<20
2021-03-27,true,granted,3910
2021-03-27,true,blocked,89
2021-03-27,true,denied,<20
2021-03-27,false,granted,788
2021-03-27,false,blocked,80
2021-03-27,false,denied,<20
2021-03-28,true,granted,3838
2021-03-28,true,blocked,83
2021-03-28,true,denied,<20
2021-03-28,false,granted,738
2021-03-28,false,blocked,71
2021-03-28,false,denied,<20
